date,Albuquerque-Santa Fe NM,Atlanta GA,Austin TX,Bakersfield CA,Baltimore MD,Boston MA-Manchester NH,Charlotte NC,Chicago IL,Colorado Springs-Pueblo CO,Columbus OH,Dallas-Ft. Worth TX,Denver CO,Detroit MI,El Paso TX,Fresno-Visalia CA,Houston TX,Jacksonville FL,Kansas City MO,Las Vegas NV,Los Angeles CA,Louisville KY,Memphis TN,Miami-Ft. Lauderdale FL,Milwaukee WI,Minneapolis-St. Paul MN,Nashville TN,New York NY,Norfolk-Portsmouth-Newport News VA,Oklahoma City OK,Omaha NE,Ontario,Philadelphia PA,Phoenix AZ,Portland OR,Raleigh-Durham (Fayetteville) NC,San Antonio TX,San Diego CA,San Francisco-Oakland-San Jose CA,Seattle-Tacoma WA,Tucson AZ,Tulsa OK,Washington DC (Hagerstown MD),Wichita-Hutchinson KS
2017-07-09,,47.934,29.0,,46.0,25.467,34.408,32.919,62.0,29.058,25.935,21.97,70.372,,63.623,23.79,30.979,86.017,53.016,48.652,36.0,27.609,33.345,,26.235,20.293,46.676,,100.0,18.878,27.25,22.991,36.829,38.638,,29.749,27.752,52.321,52.614,44.821,48.5,35.709,37.535
2017-07-16,18.992,36.425,,33.459,24.0,,26.818,39.367,34.0,15.235,57.563,,27.988,19.634,,40.88,,36.723,29.25,36.152,,46.801,26.555,28.0,54.099,,36.17,40.15,34.51,,14.429,22.757,66.228,,,28.065,23.312,37.553,49.455,34.331,,44.426,
2017-07-23,,50.084,23.2,21.841,,48.056,23.565,27.376,34.6,34.137,46.018,20.059,26.54,33.97,27.01,28.602,47.468,23.729,21.415,52.328,,26.599,37.79,53.4,31.558,19.327,40.16,,26.765,,30.0,73.431,59.12,48.2,18.0,,16.651,26.582,32.534,24.794,21.0,16.345,61.767
2017-07-30,50.33,21.45,50.143,,19.5,28.085,,31.561,31.0,19.466,61.042,,32.665,28.984,28.01,,,45.198,20.11,59.436,49.25,30.64,15.692,,43.629,,43.085,52.033,41.471,37.238,10.429,58.651,49.267,35.495,,63.241,28.196,51.055,71.133,51.496,59.25,25.147,42.762
2017-08-06,41.19,19.857,,21.377,40.2,44.123,35.757,28.281,,,41.907,47.92,29.677,,19.34,39.639,26.982,26.742,23.766,66.176,30.5,32.828,35.608,,21.672,32.131,61.436,28.018,77.647,36.928,12.75,40.469,39.46,27.243,80.286,,28.369,39.873,28.105,,,36.306,39.911
2017-08-13,,24.283,23.0,,,25.898,,32.579,34.333,27.718,27.358,61.293,47.791,,38.014,33.209,34.977,25.989,28.336,100.0,42.5,18.182,54.318,,39.922,41.552,34.84,30.769,42.941,17.843,25.286,70.088,78.181,41.039,45.0,,31.082,41.35,42.157,45.139,,49.288,
2017-08-20,56.265,46.746,19.0,,39.0,14.043,27.155,24.289,20.0,79.558,26.33,21.174,49.462,20.569,,29.907,,41.808,38.261,48.652,42.0,33.333,46.321,26.0,,,38.165,36.189,46.765,,11.2,51.026,40.221,51.343,30.8,,41.073,21.097,37.8,33.377,,53.563,27.082
2017-08-27,40.92,58.988,32.333,,,37.84,25.3,20.588,62.0,44.857,30.363,28.816,55.493,,37.347,31.558,17.988,77.514,36.665,39.216,,23.232,21.727,55.0,34.409,,31.915,,71.765,,21.333,32.845,,29.758,,23.575,,33.755,49.911,24.159,,50.922,39.911
2017-09-03,15.194,36.223,22.0,,27.0,18.186,39.467,14.593,20.0,,25.935,52.855,,29.217,25.676,52.629,18.987,33.898,33.821,50.735,40.0,44.781,19.313,45.0,,,62.367,87.055,27.059,43.445,12.0,43.988,91.588,15.717,31.0,51.266,,54.43,63.762,,24.0,48.677,57.83
2017-09-10,,17.201,14.333,,25.7,46.329,52.286,33.371,50.0,35.97,37.004,20.059,24.61,44.41,20.007,45.638,,27.966,29.022,50.613,,14.141,76.787,27.8,34.219,13.529,39.894,62.039,37.255,,16.5,76.246,30.045,17.813,88.0,19.084,27.752,27.848,76.144,26.225,28.8,65.005,18.055
2017-09-17,52.229,20.742,59.0,35.504,43.167,21.006,28.336,25.452,,40.202,35.423,22.288,16.889,35.528,23.208,23.819,,,13.406,40.074,58.0,11.111,15.692,28.0,31.082,,26.064,20.013,25.098,,12.5,31.672,39.875,39.293,,38.169,20.721,45.57,36.747,23.841,,29.548,23.756
2017-09-24,57.452,14.165,35.8,,58.429,30.091,20.24,24.548,30.0,16.927,63.572,36.497,34.813,,20.007,28.451,,24.859,17.025,69.118,39.5,26.263,51.903,82.667,38.13,16.428,32.58,42.777,47.451,46.858,37.714,27.566,38.629,25.541,35.0,,47.733,46.835,33.333,,13.0,42.498,
2017-10-01,28.172,26.206,22.667,27.219,22.5,32.805,40.648,21.584,44.0,,69.423,27.86,,76.043,32.011,42.903,,19.209,,57.721,39.0,23.232,17.804,26.0,24.096,17.394,24.202,27.351,29.412,36.152,14.4,26.979,17.445,57.42,28.0,30.123,39.963,62.869,30.356,,,30.679,41.811
2017-10-08,,15.29,22.8,,,,21.758,15.562,55.0,15.235,11.589,20.059,38.14,,52.185,32.529,31.979,48.588,48.185,41.176,31.2,42.713,43.907,34.0,,34.063,36.968,94.559,66.618,,16.714,49.971,66.001,,19.0,30.311,,43.882,27.342,85.827,24.2,21.794,
2017-10-15,24.373,23.525,42.167,,76.5,16.115,43.178,18.937,35.0,26.449,46.651,,48.945,31.788,29.761,30.441,41.639,67.232,35.954,52.451,,44.444,97.493,,27.147,37.687,32.048,,,,20.571,,30.529,22.528,36.571,56.131,25.532,37.975,45.316,,23.0,33.068,56.857
2017-10-22,86.415,42.091,28.6,,27.714,,29.685,33.371,,19.89,33.051,38.368,,,50.018,47.131,21.153,27.119,,56.127,49.0,26.936,41.69,22.0,21.292,29.956,58.112,,58.824,,20.286,32.258,23.26,,,,,46.835,37.473,,25.0,39.135,26.607
2017-10-29,23.859,18.718,27.0,23.236,55.143,27.625,20.619,41.516,31.333,26.068,51.237,67.82,,,,25.368,59.294,,,82.475,35.8,22.727,31.383,40.2,,16.428,37.367,44.528,48.941,,8.167,25.103,31.498,32.308,76.4,29.188,62.534,56.118,23.529,33.377,,31.434,32.071
2017-11-05,40.834,63.44,18.0,19.518,,20.719,19.396,49.887,22.25,,18.344,36.269,27.19,34.593,,21.229,,30.132,,43.26,23.0,20.202,51.451,22.0,43.059,14.495,34.309,30.019,,,21.286,43.402,42.159,45.056,15.0,59.499,25.902,29.114,36.601,,26.5,27.662,31.168
2017-11-12,42.733,56.56,,39.036,,26.33,31.119,49.434,,39.779,29.414,16.159,32.572,,,71.175,28.481,41.243,25.594,75.123,30.0,14.141,92.108,67.625,26.377,25.125,97.473,27.017,32.647,,26.0,47.507,54.597,22.135,21.0,33.491,55.504,51.477,27.124,54.357,75.0,68.211,33.576
2017-11-19,42.992,38.145,24.667,19.518,100.0,28.057,46.985,17.534,37.2,,71.321,27.86,16.889,32.857,30.136,44.327,20.986,28.249,32.907,55.637,28.0,35.354,,51.0,35.217,33.822,48.67,27.017,34.412,20.171,24.429,52.786,21.807,,16.0,47.43,39.346,48.101,41.285,,82.5,41.492,38.01
2017-11-26,,22.26,39.0,,36.875,27.625,46.551,32.692,,,29.572,18.945,35.655,27.114,26.009,44.278,,64.124,20.11,77.696,17.0,35.101,31.662,,22.67,26.333,38.032,22.014,34.958,37.238,13.286,31.672,43.613,19.21,60.4,34.801,,22.785,51.961,18.596,,45.683,32.037
2017-12-03,,32.125,20.0,,,29.927,33.508,31.448,,18.62,46.683,22.925,,,,20.877,,35.876,42.047,34.804,43.5,39.192,45.265,29.0,22.356,17.716,53.457,34.688,45.882,14.74,10.25,48.094,27.299,25.148,66.4,,32.827,30.802,40.85,95.363,,48.857,43.078
2017-12-10,,25.548,23.25,21.996,,17.496,,21.041,44.0,,39.377,71.93,20.508,33.658,27.343,51.852,26.857,,20.11,30.392,42.0,100.0,55.675,44.5,,35.593,40.027,,34.314,,12.714,14.076,27.137,,26.6,57.253,49.953,46.835,36.601,20.344,87.5,45.642,36.11
