,MVT_GT_Philadelphia PA
2020-08-09,32.73036450915834
2020-08-16,24.79573068875632
2020-08-23,54.050607515263906
2020-08-30,14.877438413253792
2020-09-06,80.82999665912072
2020-09-20,42.14865678466087
2020-09-27,17.85292609590455
2020-10-04,29.254876826507584
2020-10-18,35.2058521918091
2020-10-25,22.81207223365581
2020-11-01,30.746706054057835
2020-11-08,22.31207223365581
2020-11-15,43.64048601221112
2020-11-22,37.6895106469096
2020-11-29,48.59963214996239
2020-12-06,36.697681419359355
2020-12-13,32.73036450915834
2020-12-20,38.18133987445986
2020-12-27,71.90353361116846
2021-01-03,38.18133987445986
2021-01-10,48.09963214996239
2021-01-17,14.877438413253792
2021-02-07,23.803901461206067
2021-02-14,30.246706054057835
2021-02-28,16.361096868354295
2021-03-07,11.901950730603033
2021-03-14,24.29573068875632
2021-03-21,60.00158288056542
2021-03-28,36.197681419359355
2021-04-04,45.62414446731162
2021-04-11,70.9117043836182
2021-04-18,42.14865678466087
2021-04-25,21.82024300610556
2021-05-02,39.67316910201011
2021-05-09,40.16499832956036
2021-05-16,40.16499832956036
2021-05-23,16.361096868354295
2021-05-30,13.885609185703538
2021-06-06,37.6895106469096
2021-06-13,11.901950730603033
2021-06-20,33.22219373670859
2021-06-27,18.8447553234548
2021-07-04,32.73036450915834
2021-07-11,50.08329060506289
2021-07-25,39.17316910201011
2021-08-01,31.238535281608087
2021-08-22,37.1895106469096
2021-08-29,18.8447553234548
2021-09-05,36.697681419359355
2021-09-12,29.254876826507584
2021-09-19,60.99341210811567
2021-09-26,33.22219373670859
2021-10-03,38.68133987445986
2021-10-10,23.803901461206067
2021-10-17,38.18133987445986
2021-10-31,31.738535281608087
2021-11-07,73.88719206626897
2021-11-14,39.17316910201011
2021-11-21,70.9117043836182
2021-11-28,26.279389143856825
2021-12-05,43.64048601221112
2021-12-12,46.11597369486188
2022-01-02,79.67633486314095
2022-01-09,44.26463047952275
2022-01-16,69.83975031213589
2022-01-23,67.87243340193488
2022-01-30,47.21560584482427
2022-02-06,35.4117043836182
2022-02-13,30.49341210811567
2022-02-20,20.656827557110617
2022-02-27,35.4117043836182
2022-03-06,38.36267974891972
2022-03-13,27.542436742814154
2022-03-20,15.738535281608089
2022-03-27,34.42804592851769
2022-04-03,62.954141126432354
2022-04-10,26.55877828771365
2022-04-17,41.313655114221234
2022-04-24,46.23194738972376
2022-05-01,44.26463047952275
2022-05-08,52.13389812032679
2022-05-15,25.575119832613144
2022-05-22,55.08487348562831
2022-05-29,33.44438747341719
2022-06-05,33.44438747341719
2022-06-12,44.26463047952275
2022-06-19,34.42804592851769
2022-06-26,34.42804592851769
2022-07-10,19.67316910201011
2022-07-17,34.42804592851769
2022-07-24,29.509753653015167
2022-07-31,42.29731356932174
2022-08-14,38.36267974891972
2022-08-21,51.15023966522629
2022-08-28,49.182922755025274
2022-09-11,44.26463047952275
2022-09-18,98.36584551005055
2022-09-25,19.67316910201011
2022-10-02,50.166581210125784
2022-10-09,53.1175565754273
2022-10-16,37.37902129381921
2022-10-23,28.52609519791466
2022-10-30,34.42804592851769
2022-11-06,49.182922755025274
2022-11-13,36.395362838718704
2022-11-20,63.93779958153286
2022-11-27,40.329996659120724
2022-12-04,48.19926429992477
2022-12-11,33.44438747341719
2022-12-18,34.42804592851769
2022-12-25,43.28097202442224
