,MVT_GT_Ontario
2021-05-30,11.09960281712265
2021-06-06,8.044157590144135
2021-06-13,18.332671361871082
2021-06-20,23.821383725036704
2021-06-27,13.84395899870546
2021-07-04,6.92197949935273
2021-07-11,23.321383725036704
2021-07-18,6.110890453957028
2021-07-25,30.743363224389434
2021-08-01,21.8881165888496
2021-08-08,41.03187699611638
2021-08-15,32.98771940597224
2021-08-22,14.966137089496867
2021-08-29,37.97643176913787
2021-09-05,6.92197949935273
2021-09-12,19.954849452662486
2021-09-19,24.94356181582811
2021-09-26,23.010294679641
2021-10-03,8.855246635539839
2021-10-10,30.243363224389434
2021-10-17,16.08831518028827
2021-10-24,19.954849452662486
2021-10-31,16.08831518028827
2021-11-07,29.932274178993733
2021-11-14,29.932274178993733
2021-11-21,22.1992056342453
