,MVT_GT_Ontario
2019-07-21,30.94758998150651
2019-07-28,34.4844574079644
2019-08-04,33.60024055134993
2019-08-11,24.758071985205206
2019-08-18,15.03168656244602
2019-08-25,22.989638271976265
2019-09-15,17.684337132289436
2019-09-22,23.873855128590737
2019-09-29,20.33698770213285
2019-10-06,21.22120455874732
2019-10-13,19.452770845518376
2019-10-20,24.758071985205206
2019-11-03,22.989638271976265
2019-11-10,29.179156268277566
2019-11-17,37.13710797780781
2019-11-24,15.03168656244602
2019-12-01,15.915903419060491
2019-12-08,28.294939411663094
2019-12-15,37.13710797780781
2019-12-22,25.642288841819678
2019-12-29,24.758071985205206
2020-01-05,20.33698770213285
2020-01-12,32.716023694735455
2020-01-19,19.452770845518376
2020-01-26,22.989638271976265
2020-02-02,24.758071985205206
2020-02-09,26.52650569843415
