,MVT_GT_Seattle-Tacoma WA
2022-01-30,37.66396639369687
2022-02-06,75.32793278739373
2022-02-13,78.65122393977876
2022-02-20,76.4356965048554
2022-02-27,26.58632921908014
2022-03-06,60.92700446039199
2022-03-13,46.52607613339025
2022-03-20,59.81924074293032
2022-03-27,15.508692044463416
2022-04-03,14.400928327001743
2022-04-10,75.32793278739373
2022-04-17,47.63383985085192
2022-04-24,38.77173011115854
2022-05-01,57.603713308006974
2022-05-08,25.47856550161847
2022-05-15,34.34067524131185
2022-05-22,35.44843895877352
2022-05-29,31.017384088926832
2022-06-05,73.11240535247039
2022-06-19,13.29316460954007
2022-06-26,65.35805933023869
2022-07-03,35.44843895877352
2022-07-10,64.25029561277701
2022-07-17,88.6210973969338
2022-07-24,32.125147806388505
2022-07-31,53.17265843816028
2022-08-07,19.939746914310106
2022-08-14,53.17265843816028
2022-08-21,49.849367285775266
2022-08-28,31.017384088926832
2022-09-04,33.23291152385018
2022-09-11,55.38818587308363
2022-09-18,110.77637174616726
2022-09-25,48.74160356831359
2022-10-02,60.92700446039199
2022-10-09,62.034768177853664
2022-10-16,49.849367285775266
2022-10-23,43.20278498100523
2022-10-30,49.849367285775266
2022-11-06,36.556202676235195
2022-11-13,33.23291152385018
2022-11-20,62.034768177853664
2022-11-27,55.38818587308363
2022-12-04,48.74160356831359
2022-12-11,70.89687791754704
2022-12-18,37.66396639369687
2022-12-25,27.694092936541814
