,MVT_GT_Phoenix AZ
2020-10-11,51.02279812143583
2020-10-18,13.88710425499062
2020-11-08,21.033218272338594
2020-11-15,12.98198047528529
2020-11-22,12.98198047528529
2020-12-06,20.128094492633267
2020-12-13,33.11007496791855
2020-12-20,36.730570086739874
2021-01-03,28.17933228968657
2021-01-10,17.912723153517273
2021-01-17,17.912723153517273
2021-01-24,22.843465831749256
2021-01-31,66.7201499358371
2021-02-21,53.238169460551816
2021-02-28,26.869084730275908
2021-03-21,38.040817646150536
2021-04-04,27.77420850998124
2021-04-11,24.15371339115992
2021-04-18,64.90990237642644
2021-05-02,30.39470362880256
2021-05-09,36.230570086739874
2021-05-16,41.16131276497186
2021-05-23,64.90990237642644
2021-06-06,20.128094492633267
2021-06-27,17.007599373811942
2021-07-04,28.17933228968657
2021-07-18,16.60247559410661
2021-07-25,16.10247559410661
2021-08-01,22.343465831749256
2021-08-15,13.38710425499062
2021-08-22,42.06643654467719
2021-09-05,42.97156032438252
2021-09-12,32.20495118821322
2021-09-26,42.06643654467719
2021-10-03,24.15371339115992
2021-10-10,17.007599373811942
2021-10-17,81.01237797053307
2021-10-24,21.938342052043925
2021-10-31,13.38710425499062
2021-11-07,24.15371339115992
2021-11-14,48.30742678231984
2021-11-21,44.28180788379318
2021-12-12,45.18693166349851
2021-12-19,32.70495118821322
2021-12-26,30.89470362880256
2022-01-02,51.855843802282315
2022-01-09,23.497179222909175
2022-01-16,30.789407257605124
2022-01-23,66.44029987167421
2022-01-30,12.963960950570579
2022-02-06,34.84064505465843
2022-02-13,66.44029987167421
2022-02-20,22.686931663498513
2022-02-27,33.22014993583711
2022-03-06,25.117674341730496
2022-03-27,27.54841701996248
2022-04-03,14.584456069391901
2022-04-10,38.891882851711735
2022-04-24,13.77420850998124
2022-05-08,38.08163529230107
2022-05-15,12.963960950570579
2022-05-29,37.27138773289042
2022-06-05,17.825446307034547
2022-06-12,31.599654817015786
2022-06-19,18.63569386644521
2022-06-26,19.445941425855867
2022-07-03,16.204951188213222
2022-07-10,29.168912138783803
2022-07-17,18.63569386644521
2022-07-24,57.52757671815694
2022-07-31,39.7021304111224
2022-08-14,36.461140173479755
2022-08-21,19.445941425855867
2022-08-28,29.979159698194465
2022-09-04,28.35866457937314
2022-09-11,22.686931663498513
2022-09-18,38.891882851711735
2022-10-02,19.445941425855867
2022-10-09,11.343465831749256
2022-10-16,22.686931663498513
2022-11-13,17.825446307034547
2022-11-20,28.35866457937314
2022-11-27,38.891882851711735
2022-12-11,64.81980475285289
